incident_id,city,road_name,vehicle_type,accident_type,severity,weather_condition,road_condition,cause,driver_age,driver_gender,injury_count,damage_cost_php,latitude,longitude,datetime,hour,day_of_week,month_name,is_weekend,age_group
MMTI-2025-0019,Makati,Quezon Ave,Jeepney,Pedestrian,Minor,Clear,Dry,Unknown,60,Male,2,28000,14.633945,120.962837,2025-05-01 12:07:00,12 PM,Thursday,May,False,41-60
MMTI-2025-0020,San Juan,Aurora Blvd,Bus,Collision,Minor,Cloudy,Unknown,Distracted Driving,22,Female,4,35500,14.526491,120.969802,2025-05-16 12:08:00,12 PM,Friday,May,False,18-25
MMTI-2025-0021,San Juan,Commonwealth Ave,Truck,Pedestrian,Fatal,Clear,Unknown,Overspeeding,60,Male,0,15000,14.687786,120.926858,2025-02-05 07:23:00,7 AM,Wednesday,February,False,41-60
MMTI-2025-0022,Quezon City,Commonwealth Ave,Bus,Side-swipe,Unknown,Rain,Slippery,Mechanical Failure,61,Male,4,64500,14.550224,121.081632,2025-03-01 03:47:00,3 AM,Saturday,March,True,Senior
MMTI-2025-0023,Malabon,Roxas Blvd,Motorcycle,Collision,Fatal,Rain,Slippery,Drunk Driving,65,Female,4,92000,14.585537,120.901934,2025-01-27 02:40:00,2 AM,Monday,January,False,Senior
MMTI-2025-0024,Pasig,España Blvd,Motorcycle,Side-swipe,Unknown,Clear,Wet,Unknown,26,Male,2,48500,14.679796,121.059224,2025-02-08 22:57:00,10 PM,Saturday,February,True,26-40
MMTI-2025-0025,Caloocan,C5,Bus,Pedestrian,Unknown,Clear,Wet,Mechanical Failure,28,Female,3,5000,14.535872,121.084897,2025-01-21 11:13:00,11 AM,Tuesday,January,False,26-40
MMTI-2025-0026,Caloocan,Roxas Blvd,Car,Collision,Unknown,Clear,Unknown,Mechanical Failure,30,Female,2,41000,14.664107,121.074265,2025-07-30 21:55:00,9 PM,Wednesday,July,False,26-40
MMTI-2025-0027,Parañaque,Taft Ave,Bus,Side-swipe,Minor,Storm,Slippery,Unknown,61,Male,0,16500,14.675408,120.952243,2025-04-25 00:42:00,12 AM,Friday,April,False,Senior
MMTI-2025-0028,Taguig,Katipunan Ave,Truck,Side-swipe,Fatal,Cloudy,Unknown,Distracted Driving,42,Female,2,7500,14.641757,120.900338,2025-10-25 08:02:00,8 AM,Saturday,October,True,41-60
MMTI-2025-0029,Parañaque,Ortigas Ave,Truck,Collision,Fatal,Clear,Slippery,Distracted Driving,64,Male,4,41500,14.633379,120.965237,2025-10-03 21:46:00,9 PM,Friday,October,False,Senior
MMTI-2025-0030,Pasig,Quezon Ave,Truck,Hit and Run,Major,Clear,Unknown,Reckless Driving,43,Male,2,38500,14.542037,121.057152,2025-12-23 09:35:00,9 AM,Tuesday,December,False,41-60
MMTI-2025-0031,Valenzuela,Aurora Blvd,Truck,Rear-end,Unknown,Cloudy,Wet,Distracted Driving,36,Male,0,98000,14.546974,120.962084,2025-11-07 20:20:00,8 PM,Friday,November,False,26-40
MMTI-2025-0032,Quezon City,Quezon Ave,Truck,Pedestrian,Minor,Cloudy,Unknown,Mechanical Failure,63,Female,3,53000,14.548797,121.031212,2025-04-12 04:01:00,4 AM,Saturday,April,True,Senior
MMTI-2025-0033,Malabon,Quezon Ave,Car,Pedestrian,Unknown,Clear,Unknown,Mechanical Failure,25,Female,1,61000,14.633516,121.097578,2025-01-03 03:49:00,3 AM,Friday,January,False,18-25
MMTI-2025-0034,Valenzuela,Katipunan Ave,Taxi,Pedestrian,Unknown,Clear,Unknown,Drunk Driving,65,Female,3,35000,14.650355,121.067973,2025-11-01 10:48:00,10 AM,Saturday,November,True,Senior
MMTI-2025-0035,Caloocan,Roxas Blvd,Truck,Collision,Fatal,Rain,Slippery,Traffic Violation,38,Male,1,21000,14.546252,121.03879,2025-05-22 16:31:00,4 PM,Thursday,May,False,26-40
MMTI-2025-0036,Malabon,Taft Ave,Bus,Pedestrian,Unknown,Cloudy,Dry,Mechanical Failure,44,Female,4,91000,14.503906,121.076131,2025-12-28 06:04:00,6 AM,Sunday,December,True,41-60
MMTI-2025-0037,Manila,Ortigas Ave,Bus,Hit and Run,Unknown,Clear,Unknown,Mechanical Failure,49,Female,2,57500,14.597128,120.977771,2025-10-22 12:30:00,12 PM,Wednesday,October,False,41-60
MMTI-2025-0038,Navotas,Commonwealth Ave,Taxi,Hit and Run,Major,Clear,Unknown,Overspeeding,43,Male,0,84000,14.585723,121.07337,2025-12-09 21:51:00,9 PM,Tuesday,December,False,41-60
MMTI-2025-0039,Navotas,Ortigas Ave,Car,Hit and Run,Fatal,Storm,Unknown,Reckless Driving,66,Female,2,12000,14.594061,121.049805,2025-04-04 01:16:00,1 AM,Friday,April,False,Senior
MMTI-2025-0040,Makati,EDSA,Taxi,Collision,Major,Rain,Dry,Drunk Driving,33,Female,3,87500,14.522878,121.089551,2025-01-27 11:14:00,11 AM,Monday,January,False,26-40
MMTI-2025-0041,Las Piñas,Commonwealth Ave,Jeepney,Pedestrian,Minor,Rain,Slippery,Distracted Driving,55,Male,2,75500,14.635469,121.091635,2025-08-27 22:16:00,10 PM,Wednesday,August,False,41-60
MMTI-2025-0042,Makati,Katipunan Ave,UV Express,Rear-end,Minor,Rain,Slippery,Distracted Driving,68,Male,2,70000,14.585676,120.974114,2025-07-23 22:12:00,10 PM,Wednesday,July,False,Senior
MMTI-2025-0043,Manila,Taft Ave,Taxi,Hit and Run,Minor,Cloudy,Slippery,Unknown,63,Female,3,24500,14.646759,121.093095,2025-09-17 20:21:00,8 PM,Wednesday,September,False,Senior
MMTI-2025-0044,Quezon City,Aurora Blvd,Truck,Hit and Run,Unknown,Storm,Slippery,Mechanical Failure,23,Male,3,33000,14.650095,121.01397,2025-05-19 19:51:00,7 PM,Monday,May,False,18-25
MMTI-2025-0045,Manila,Aurora Blvd,Taxi,Side-swipe,Major,Cloudy,Wet,Traffic Violation,69,Male,2,37500,14.676064,121.040237,2025-12-09 12:21:00,12 PM,Tuesday,December,False,Senior
MMTI-2025-0046,Manila,Quezon Ave,Motorcycle,Rear-end,Unknown,Cloudy,Unknown,Mechanical Failure,62,Female,0,93000,14.598164,121.058587,2025-05-22 17:00:00,5 PM,Thursday,May,False,Senior
MMTI-2025-0047,Navotas,Quezon Ave,Bus,Pedestrian,Fatal,Cloudy,Unknown,Traffic Violation,45,Male,2,91500,14.590749,120.961325,2025-02-17 09:14:00,9 AM,Monday,February,False,41-60
MMTI-2025-0048,Parañaque,Ortigas Ave,Motorcycle,Pedestrian,Major,Rain,Wet,Unknown,35,Male,0,26500,14.559249,120.972176,2025-04-29 03:46:00,3 AM,Tuesday,April,False,26-40
MMTI-2025-0049,Quezon City,Commonwealth Ave,Bus,Collision,Minor,Clear,Slippery,Drunk Driving,58,Female,0,3500,14.614813,120.993879,2025-06-04 00:45:00,12 AM,Wednesday,June,False,41-60
MMTI-2025-0050,Quezon City,Roxas Blvd,Taxi,Hit and Run,Minor,Clear,Unknown,Unknown,22,Male,1,21000,14.662228,121.089825,2025-08-14 10:11:00,10 AM,Thursday,August,False,18-25
MMTI-2025-0051,Quezon City,Taft Ave,Jeepney,Pedestrian,Unknown,Rain,Unknown,Unknown,46,Female,2,77000,14.698006,120.961076,2025-02-13 07:07:00,7 AM,Thursday,February,False,41-60
MMTI-2025-0052,Taguig,Quezon Ave,UV Express,Rear-end,Fatal,Rain,Dry,Drunk Driving,33,Female,4,11500,14.531307,120.981704,2025-11-14 01:39:00,1 AM,Friday,November,False,26-40
MMTI-2025-0053,San Juan,EDSA,Car,Side-swipe,Fatal,Rain,Unknown,Distracted Driving,61,Female,2,82000,14.617958,121.060781,2025-12-19 19:30:00,7 PM,Friday,December,False,Senior
MMTI-2025-0054,Quezon City,Quezon Ave,UV Express,Rear-end,Fatal,Rain,Dry,Overspeeding,28,Male,4,97500,14.664848,121.084239,2025-04-12 13:07:00,1 PM,Saturday,April,True,26-40
MMTI-2025-0055,San Juan,Taft Ave,Bus,Pedestrian,Unknown,Cloudy,Unknown,Distracted Driving,56,Male,3,96000,14.564464,120.950074,2025-08-13 03:29:00,3 AM,Wednesday,August,False,41-60
MMTI-2025-0056,Makati,Katipunan Ave,Motorcycle,Side-swipe,Unknown,Clear,Wet,Unknown,51,Female,2,25000,14.699389,120.987177,2025-02-16 07:43:00,7 AM,Sunday,February,True,41-60
MMTI-2025-0057,Las Piñas,Taft Ave,Bus,Side-swipe,Minor,Rain,Slippery,Unknown,62,Female,2,86500,14.689039,121.062713,2025-09-09 02:30:00,2 AM,Tuesday,September,False,Senior
MMTI-2025-0058,Makati,Ortigas Ave,Bus,Side-swipe,Minor,Cloudy,Unknown,Overspeeding,60,Female,3,8500,14.537517,120.972356,2025-10-09 01:29:00,1 AM,Thursday,October,False,41-60
MMTI-2025-0059,Quezon City,Quezon Ave,Bus,Pedestrian,Major,Storm,Unknown,Unknown,25,Male,0,79500,14.659863,121.041957,2025-09-13 20:28:00,8 PM,Saturday,September,True,18-25
MMTI-2025-0060,Quezon City,Taft Ave,Motorcycle,Rear-end,Minor,Cloudy,Dry,Drunk Driving,49,Male,4,92000,14.554685,121.066945,2025-06-09 17:00:00,5 PM,Monday,June,False,41-60
MMTI-2025-0061,Quezon City,Commonwealth Ave,Truck,Rear-end,Unknown,Clear,Wet,Distracted Driving,35,Female,2,66500,14.553435,120.900513,2025-08-30 07:29:00,7 AM,Saturday,August,True,26-40
MMTI-2025-0062,Pateros,Commonwealth Ave,Truck,Pedestrian,Unknown,Storm,Slippery,Unknown,47,Male,1,91000,14.547761,120.976594,2025-06-02 18:37:00,6 PM,Monday,June,False,41-60
MMTI-2025-0063,Pateros,Taft Ave,Truck,Rear-end,Unknown,Clear,Wet,Traffic Violation,24,Female,0,69000,14.682088,120.90307,2025-07-30 01:20:00,1 AM,Wednesday,July,False,18-25
MMTI-2025-0064,Pasig,C5,Truck,Side-swipe,Fatal,Clear,Unknown,Distracted Driving,39,Female,2,82000,14.643743,121.05188,2025-03-15 13:55:00,1 PM,Saturday,March,True,26-40
MMTI-2025-0065,Makati,Quezon Ave,UV Express,Side-swipe,Major,Rain,Dry,Unknown,24,Male,3,23000,14.6388,121.080685,2025-10-05 01:39:00,1 AM,Sunday,October,True,18-25
MMTI-2025-0066,Quezon City,Roxas Blvd,Bus,Side-swipe,Unknown,Rain,Wet,Unknown,54,Female,1,24000,14.515794,121.074168,2025-01-24 10:50:00,10 AM,Friday,January,False,41-60
MMTI-2025-0067,Pateros,Katipunan Ave,Car,Rear-end,Unknown,Rain,Slippery,Unknown,34,Male,3,38500,14.635522,120.931595,2025-11-14 21:15:00,9 PM,Friday,November,False,26-40
MMTI-2025-0068,San Juan,Taft Ave,UV Express,Side-swipe,Unknown,Storm,Wet,Unknown,48,Male,1,50500,14.614385,121.014962,2025-08-15 11:37:00,11 AM,Friday,August,False,41-60
MMTI-2025-0069,Navotas,Roxas Blvd,Motorcycle,Pedestrian,Minor,Clear,Unknown,Reckless Driving,67,Female,4,47000,14.543801,120.938026,2025-12-25 09:01:00,9 AM,Thursday,December,False,Senior
MMTI-2025-0070,Pasig,C5,UV Express,Collision,Fatal,Cloudy,Dry,Traffic Violation,64,Female,0,39500,14.565344,120.983101,2025-05-09 21:48:00,9 PM,Friday,May,False,Senior
MMTI-2025-0071,Quezon City,Ortigas Ave,Jeepney,Pedestrian,Fatal,Rain,Slippery,Unknown,69,Male,0,45000,14.660847,120.993666,2025-04-13 04:50:00,4 AM,Sunday,April,True,Senior
MMTI-2025-0072,Caloocan,Taft Ave,Taxi,Pedestrian,Fatal,Clear,Unknown,Overspeeding,34,Male,3,49000,14.634566,121.034468,2025-02-08 04:48:00,4 AM,Saturday,February,True,26-40
MMTI-2025-0073,Las Piñas,C5,UV Express,Rear-end,Unknown,Clear,Unknown,Traffic Violation,57,Female,0,10000,14.627081,120.992854,2025-10-27 12:52:00,12 PM,Monday,October,False,41-60
MMTI-2025-0074,Malabon,C5,Car,Collision,Minor,Storm,Unknown,Distracted Driving,24,Female,4,19000,14.577729,120.974202,2025-12-25 09:41:00,9 AM,Thursday,December,False,18-25
MMTI-2025-0075,Makati,Commonwealth Ave,Truck,Collision,Unknown,Clear,Unknown,Reckless Driving,20,Male,1,58500,14.588939,120.947223,2025-12-23 17:26:00,5 PM,Tuesday,December,False,18-25
MMTI-2025-0076,Las Piñas,España Blvd,UV Express,Side-swipe,Minor,Cloudy,Slippery,Mechanical Failure,25,Female,0,86500,14.542421,121.027899,2025-07-05 03:43:00,3 AM,Saturday,July,True,18-25
MMTI-2025-0077,Marikina,Quezon Ave,Car,Pedestrian,Major,Clear,Unknown,Mechanical Failure,55,Female,1,44000,14.654874,121.057729,2025-01-11 01:50:00,1 AM,Saturday,January,True,41-60
MMTI-2025-0078,Pasig,Commonwealth Ave,Jeepney,Side-swipe,Major,Clear,Dry,Drunk Driving,18,Male,1,77000,14.564754,120.934849,2025-11-02 00:17:00,12 AM,Sunday,November,True,18-25
MMTI-2025-0079,Malabon,España Blvd,Motorcycle,Collision,Unknown,Cloudy,Slippery,Distracted Driving,46,Female,4,7500,14.645449,121.08175,2025-01-27 04:47:00,4 AM,Monday,January,False,41-60
MMTI-2025-0080,Valenzuela,EDSA,Motorcycle,Hit and Run,Unknown,Cloudy,Dry,Unknown,63,Female,0,12000,14.564422,120.929667,2025-12-04 16:19:00,4 PM,Thursday,December,False,Senior
MMTI-2025-0081,Makati,España Blvd,UV Express,Side-swipe,Unknown,Clear,Unknown,Reckless Driving,47,Female,0,91500,14.522883,121.030943,2025-03-06 08:39:00,8 AM,Thursday,March,False,41-60
MMTI-2025-0082,Parañaque,Taft Ave,Truck,Rear-end,Unknown,Storm,Unknown,Unknown,44,Male,2,56500,14.562505,120.950978,2025-10-10 23:55:00,11 PM,Friday,October,False,41-60
MMTI-2025-0083,Pateros,C5,Motorcycle,Collision,Minor,Cloudy,Dry,Traffic Violation,69,Female,4,9500,14.617293,121.012317,2025-03-20 21:59:00,9 PM,Thursday,March,False,Senior
MMTI-2025-0084,Malabon,Ortigas Ave,Taxi,Hit and Run,Minor,Storm,Unknown,Reckless Driving,40,Male,4,66500,14.542548,121.031347,2025-06-18 21:07:00,9 PM,Wednesday,June,False,26-40
MMTI-2025-0085,Quezon City,Ortigas Ave,Motorcycle,Side-swipe,Unknown,Rain,Unknown,Overspeeding,56,Male,0,25000,14.554654,121.052482,2025-04-25 03:22:00,3 AM,Friday,April,False,41-60
MMTI-2025-0086,Pasay,Commonwealth Ave,Jeepney,Hit and Run,Minor,Rain,Dry,Distracted Driving,65,Female,3,55500,14.590729,120.931482,2025-06-23 11:00:00,11 AM,Monday,June,False,Senior
MMTI-2025-0087,Makati,Katipunan Ave,Motorcycle,Collision,Major,Rain,Unknown,Overspeeding,61,Male,2,58500,14.632388,120.997132,2025-06-09 23:20:00,11 PM,Monday,June,False,Senior
MMTI-2025-0088,Parañaque,España Blvd,Motorcycle,Side-swipe,Unknown,Clear,Slippery,Unknown,51,Male,0,30000,14.579053,121.019865,2025-08-15 13:17:00,1 PM,Friday,August,False,41-60
MMTI-2025-0089,Parañaque,Commonwealth Ave,Taxi,Side-swipe,Fatal,Storm,Dry,Overspeeding,49,Female,1,18500,14.576041,121.040734,2025-01-04 06:19:00,6 AM,Saturday,January,True,41-60
MMTI-2025-0090,Las Piñas,C5,Truck,Collision,Unknown,Clear,Unknown,Distracted Driving,38,Female,4,53500,14.6419,120.983539,2025-09-14 17:53:00,5 PM,Sunday,September,True,26-40
MMTI-2025-0091,Marikina,Commonwealth Ave,Taxi,Pedestrian,Unknown,Rain,Slippery,Distracted Driving,45,Male,1,57500,14.617774,121.004793,2025-02-28 12:01:00,12 PM,Friday,February,False,41-60
MMTI-2025-0092,Marikina,Quezon Ave,Bus,Rear-end,Minor,Clear,Dry,Mechanical Failure,67,Male,2,95000,14.691645,121.029089,2025-07-22 09:47:00,9 AM,Tuesday,July,False,Senior
MMTI-2025-0093,Pasig,Roxas Blvd,Car,Rear-end,Unknown,Rain,Dry,Drunk Driving,67,Female,3,98500,14.612747,121.015894,2025-03-17 07:06:00,7 AM,Monday,March,False,Senior
MMTI-2025-0094,Pasig,Ortigas Ave,Taxi,Side-swipe,Major,Cloudy,Dry,Unknown,46,Male,2,77500,14.511234,121.001467,2025-12-15 18:41:00,6 PM,Monday,December,False,41-60
MMTI-2025-0095,Quezon City,EDSA,Bus,Side-swipe,Minor,Rain,Dry,Unknown,47,Male,3,75000,14.630367,120.964305,2025-06-08 14:28:00,2 PM,Sunday,June,True,41-60
MMTI-2025-0096,Quezon City,Aurora Blvd,Motorcycle,Side-swipe,Minor,Clear,Wet,Overspeeding,33,Female,3,69000,14.60455,120.931749,2025-09-01 16:09:00,4 PM,Monday,September,False,26-40
MMTI-2025-0097,Malabon,Ortigas Ave,UV Express,Pedestrian,Minor,Rain,Slippery,Distracted Driving,39,Male,4,88500,14.577313,120.950399,2025-07-10 09:24:00,9 AM,Thursday,July,False,26-40
MMTI-2025-0098,Pasig,Ortigas Ave,Motorcycle,Pedestrian,Major,Storm,Slippery,Unknown,26,Male,2,73500,14.575336,121.058332,2025-12-03 19:55:00,7 PM,Wednesday,December,False,26-40
MMTI-2025-0099,Manila,C5,UV Express,Hit and Run,Unknown,Storm,Dry,Traffic Violation,37,Female,1,45500,14.689534,120.997254,2025-03-07 21:44:00,9 PM,Friday,March,False,26-40
MMTI-2025-0100,Makati,Roxas Blvd,Taxi,Collision,Unknown,Clear,Unknown,Overspeeding,60,Male,4,18500,14.619449,120.930851,2025-04-26 04:09:00,4 AM,Saturday,April,True,41-60
MMTI-2025-0101,Pasig,Commonwealth Ave,UV Express,Hit and Run,Minor,Cloudy,Slippery,Mechanical Failure,46,Male,0,59000,14.546801,120.947834,2025-04-03 22:49:00,10 PM,Thursday,April,False,41-60
MMTI-2025-0102,Makati,Aurora Blvd,Truck,Side-swipe,Unknown,Clear,Unknown,Unknown,28,Female,4,19500,14.6746,120.910436,2025-08-29 06:23:00,6 AM,Friday,August,False,26-40
MMTI-2025-0103,Taguig,España Blvd,Taxi,Collision,Fatal,Clear,Wet,Reckless Driving,46,Female,3,13500,14.689283,120.944408,2025-09-04 11:35:00,11 AM,Thursday,September,False,41-60
MMTI-2025-0104,Manila,Taft Ave,Motorcycle,Hit and Run,Unknown,Storm,Wet,Unknown,23,Male,1,5500,14.563737,120.919817,2025-08-19 11:59:00,11 AM,Tuesday,August,False,18-25
MMTI-2025-0105,Pasig,Commonwealth Ave,Motorcycle,Side-swipe,Unknown,Rain,Wet,Unknown,46,Male,0,4000,14.551185,121.066993,2025-11-29 10:50:00,10 AM,Saturday,November,True,41-60
MMTI-2025-0106,Manila,Taft Ave,Motorcycle,Side-swipe,Major,Storm,Dry,Overspeeding,33,Female,0,81500,14.591423,120.922172,2025-10-08 23:38:00,11 PM,Wednesday,October,False,26-40
MMTI-2025-0107,Manila,España Blvd,Jeepney,Rear-end,Major,Storm,Unknown,Overspeeding,57,Male,1,75000,14.583314,121.032874,2025-09-13 19:34:00,7 PM,Saturday,September,True,41-60
MMTI-2025-0108,Makati,España Blvd,Jeepney,Pedestrian,Unknown,Clear,Dry,Unknown,48,Male,0,51500,14.696208,120.95073,2025-02-13 16:23:00,4 PM,Thursday,February,False,41-60
MMTI-2025-0109,Makati,Ortigas Ave,Car,Collision,Unknown,Rain,Slippery,Drunk Driving,20,Male,4,45000,14.662702,120.935018,2025-01-09 11:50:00,11 AM,Thursday,January,False,18-25
MMTI-2025-0110,Pateros,Commonwealth Ave,Taxi,Rear-end,Minor,Rain,Unknown,Overspeeding,36,Female,0,27500,14.677158,120.963119,2025-12-17 14:44:00,2 PM,Wednesday,December,False,26-40
MMTI-2025-0111,Quezon City,Aurora Blvd,Bus,Collision,Major,Storm,Slippery,Overspeeding,59,Male,2,17500,14.659868,120.98739,2025-06-08 16:25:00,4 PM,Sunday,June,True,41-60
MMTI-2025-0112,Navotas,Ortigas Ave,Car,Hit and Run,Unknown,Storm,Unknown,Reckless Driving,69,Male,0,56000,14.515785,121.020491,2025-07-24 23:28:00,11 PM,Thursday,July,False,Senior
MMTI-2025-0113,Marikina,C5,Motorcycle,Side-swipe,Fatal,Storm,Unknown,Unknown,28,Female,2,59000,14.508471,121.074007,2025-04-03 17:18:00,5 PM,Thursday,April,False,26-40
MMTI-2025-0114,Mandaluyong,EDSA,Motorcycle,Hit and Run,Fatal,Clear,Wet,Overspeeding,27,Female,0,18000,14.513447,121.055703,2025-06-30 19:27:00,7 PM,Monday,June,False,26-40
MMTI-2025-0115,Makati,EDSA,Jeepney,Rear-end,Unknown,Storm,Slippery,Unknown,66,Male,4,19500,14.605892,120.979607,2025-07-07 11:24:00,11 AM,Monday,July,False,Senior
MMTI-2025-0116,Taguig,EDSA,UV Express,Rear-end,Unknown,Clear,Unknown,Distracted Driving,34,Male,0,59000,14.542914,121.022375,2025-11-29 08:15:00,8 AM,Saturday,November,True,26-40
MMTI-2025-0117,Taguig,Commonwealth Ave,Taxi,Collision,Unknown,Rain,Unknown,Distracted Driving,69,Male,0,46000,14.641908,121.009999,2025-12-22 15:12:00,3 PM,Monday,December,False,Senior
MMTI-2025-0118,Pasay,Commonwealth Ave,Taxi,Side-swipe,Unknown,Rain,Dry,Mechanical Failure,68,Female,1,65000,14.505257,121.010804,2025-05-29 09:54:00,9 AM,Thursday,May,False,Senior
MMTI-2025-0119,Quezon City,Commonwealth Ave,Jeepney,Collision,Minor,Storm,Unknown,Unknown,51,Female,3,75500,14.51475,121.094476,2025-07-08 14:51:00,2 PM,Tuesday,July,False,41-60
MMTI-2025-0120,Valenzuela,España Blvd,Bus,Rear-end,Unknown,Rain,Unknown,Drunk Driving,67,Female,3,66000,14.682142,120.911083,2025-11-25 02:28:00,2 AM,Tuesday,November,False,Senior
MMTI-2025-0121,San Juan,Commonwealth Ave,Car,Side-swipe,Major,Storm,Unknown,Reckless Driving,23,Male,1,83000,14.69127,120.95489,2025-03-05 16:09:00,4 PM,Wednesday,March,False,18-25
MMTI-2025-0122,Quezon City,C5,Jeepney,Rear-end,Unknown,Clear,Wet,Drunk Driving,60,Male,4,7000,14.665047,120.905675,2025-11-17 09:39:00,9 AM,Monday,November,False,41-60
MMTI-2025-0123,Makati,Roxas Blvd,UV Express,Rear-end,Unknown,Cloudy,Unknown,Overspeeding,49,Male,0,40500,14.596589,121.060938,2025-01-24 20:49:00,8 PM,Friday,January,False,41-60
MMTI-2025-0124,Valenzuela,C5,UV Express,Collision,Major,Cloudy,Unknown,Unknown,47,Female,2,79500,14.528734,121.072297,2025-12-17 12:19:00,12 PM,Wednesday,December,False,41-60
MMTI-2025-0125,Las Piñas,Taft Ave,Car,Side-swipe,Unknown,Clear,Dry,Traffic Violation,33,Female,0,36000,14.589919,120.928176,2025-06-13 23:55:00,11 PM,Friday,June,False,26-40
MMTI-2025-0126,Pasig,Taft Ave,Car,Rear-end,Fatal,Clear,Slippery,Mechanical Failure,66,Female,3,67500,14.593363,121.075815,2025-01-26 09:24:00,9 AM,Sunday,January,True,Senior
MMTI-2025-0127,Navotas,España Blvd,Truck,Rear-end,Major,Clear,Slippery,Overspeeding,21,Male,3,78000,14.676468,121.030852,2025-09-12 00:05:00,12 AM,Friday,September,False,18-25
MMTI-2025-0128,Manila,C5,Truck,Rear-end,Fatal,Rain,Slippery,Unknown,41,Male,3,8500,14.614056,120.938931,2025-08-29 09:34:00,9 AM,Friday,August,False,41-60
MMTI-2025-0129,Navotas,España Blvd,Truck,Pedestrian,Fatal,Clear,Unknown,Distracted Driving,26,Male,3,49500,14.658979,120.967817,2025-10-11 09:04:00,9 AM,Saturday,October,True,26-40
