incident_id,city,road_name,vehicle_type,accident_type,severity,weather_condition,road_condition,cause,driver_age,driver_gender,injury_count,damage_cost_php,latitude,longitude,datetime
MMTI-2025-0034,Valenzuela,Katipunan Ave,Taxi,Pedestrian,Unknown,Clear,Unknown,Drunk Driving,65,Female,3.0,35000.0,14.650355357300102,121.06797257756838,2025-11-01 10:48:00
MMTI-2025-0035,Caloocan,Roxas Blvd,Truck,Collision,Fatal,Rain,Slippery,Traffic Violation,38,Male,1.0,21000.0,14.546252295945637,121.03878996245982,2025-05-22 16:31:00
MMTI-2025-0036,Malabon,Taft Ave,Bus,Pedestrian,Unknown,Cloudy,Dry,Mechanical Failure,44,Female,4.0,91000.0,14.503906391347543,121.07613133455158,2025-12-28 06:04:00
MMTI-2025-0037,Manila,Ortigas Ave,Bus,Hit and Run,Unknown,Clear,Unknown,Mechanical Failure,49,Female,2.0,57500.0,14.5971283987597,120.97777144064924,2025-10-22 12:30:00
MMTI-2025-0038,Navotas,Commonwealth Ave,Taxi,Hit and Run,Major,Clear,Unknown,Overspeeding,43,Male,0.0,84000.0,14.58572255393222,121.07337027111905,2025-12-09 21:51:00
MMTI-2025-0039,Navotas,Ortigas Ave,Car,Hit and Run,Fatal,Storm,Unknown,Reckless Driving,66,Female,2.0,12000.0,14.59406136724261,121.04980485221658,2025-04-04 01:16:00
MMTI-2025-0040,Makati,EDSA,Taxi,Collision,Major,Rain,Dry,Drunk Driving,33,Female,3.0,87500.0,14.522877889221862,121.08955140444334,2025-01-27 11:14:00
MMTI-2025-0041,Las Piñas,Commonwealth Ave,Jeepney,Pedestrian,Minor,Rain,Slippery,Distracted Driving,55,Male,2.0,75500.0,14.635469457370082,121.09163456764118,2025-08-27 22:16:00
MMTI-2025-0042,Makati,Katipunan Ave,UV Express,Rear-end,Minor,Rain,Slippery,Distracted Driving,68,Male,2.0,70000.0,14.58567560264695,120.9741141752436,2025-07-23 22:12:00
MMTI-2025-0043,Manila,Taft Ave,Taxi,Hit and Run,Minor,Cloudy,Slippery,Unknown,63,Female,3.0,24500.0,14.646759060802678,121.09309474624762,2025-09-17 20:21:00
MMTI-2025-0044,Quezon City,Aurora Blvd,Truck,Hit and Run,Unknown,Storm,Slippery,Mechanical Failure,23,Male,3.0,33000.0,14.650095256365402,121.01396992893568,2025-05-19 19:51:00
MMTI-2025-0045,Manila,Aurora Blvd,Taxi,Side-swipe,Major,Cloudy,Wet,Traffic Violation,69,Male,2.0,37500.0,14.676063995951646,121.04023675006644,2025-12-09 12:21:00
MMTI-2025-0046,Manila,Quezon Ave,Motorcycle,Rear-end,Unknown,Cloudy,Unknown,Mechanical Failure,62,Female,0.0,93000.0,14.598164267015717,121.05858657362649,2025-05-22 17:00:00
MMTI-2025-0047,Navotas,Quezon Ave,Bus,Pedestrian,Fatal,Cloudy,Unknown,Traffic Violation,45,Male,2.0,91500.0,14.590749052570636,120.96132459826975,2025-02-17 09:14:00
MMTI-2025-0048,Parañaque,Ortigas Ave,Motorcycle,Pedestrian,Major,Rain,Wet,Unknown,35,Male,0.0,26500.0,14.559249292653028,120.97217621382988,2025-04-29 03:46:00
MMTI-2025-0049,Quezon City,Commonwealth Ave,Bus,Collision,Minor,Clear,Slippery,Drunk Driving,58,Female,0.0,3500.0,14.614812843925266,120.9938793889861,2025-06-04 00:45:00
MMTI-2025-0050,Quezon City,Roxas Blvd,Taxi,Hit and Run,Minor,Clear,Unknown,Unknown,22,Male,1.0,21000.0,14.66222841525501,121.08982512847162,2025-08-14 10:11:00
MMTI-2025-0051,Quezon City,Taft Ave,Jeepney,Pedestrian,Unknown,Rain,Unknown,Unknown,46,Female,2.0,77000.0,14.69800625209336,120.96107604886387,2025-02-13 07:07:00
MMTI-2025-0052,Taguig,Quezon Ave,UV Express,Rear-end,Fatal,Rain,Dry,Drunk Driving,33,Female,4.0,11500.0,14.531306523088627,120.981703514532,2025-11-14 01:39:00
MMTI-2025-0053,San Juan,EDSA,Car,Side-swipe,Fatal,Rain,Unknown,Distracted Driving,61,Female,2.0,82000.0,14.617957917841052,121.06078113605628,2025-12-19 19:30:00
MMTI-2025-0054,Quezon City,Quezon Ave,UV Express,Rear-end,Fatal,Rain,Dry,Overspeeding,28,Male,4.0,97500.0,14.664848060264,121.08423850579354,2025-04-12 13:07:00
MMTI-2025-0055,San Juan,Taft Ave,Bus,Pedestrian,Unknown,Cloudy,Unknown,Distracted Driving,56,Male,3.0,96000.0,14.56446431667166,120.9500735804824,2025-08-13 03:29:00
MMTI-2025-0056,Makati,Katipunan Ave,Motorcycle,Side-swipe,Unknown,Clear,Wet,Unknown,51,Female,2.0,25000.0,14.699389094986511,120.9871769974154,2025-02-16 07:43:00
MMTI-2025-0057,Las Piñas,Taft Ave,Bus,Side-swipe,Minor,Rain,Slippery,Unknown,62,Female,2.0,86500.0,14.689038707912642,121.0627132069476,2025-09-09 02:30:00
MMTI-2025-0058,Makati,Ortigas Ave,Bus,Side-swipe,Minor,Cloudy,Unknown,Overspeeding,60,Female,3.0,8500.0,14.537516508278904,120.97235587183036,2025-10-09 01:29:00
MMTI-2025-0059,Quezon City,Quezon Ave,Bus,Pedestrian,Major,Storm,Unknown,Unknown,25,Male,0.0,79500.0,14.659862746654897,121.04195656502006,2025-09-13 20:28:00
MMTI-2025-0060,Quezon City,Taft Ave,Motorcycle,Rear-end,Minor,Cloudy,Dry,Drunk Driving,49,Male,4.0,92000.0,14.554684979342657,121.06694478911534,2025-06-09 17:00:00
MMTI-2025-0061,Quezon City,Commonwealth Ave,Truck,Rear-end,Unknown,Clear,Wet,Distracted Driving,35,Female,2.0,66500.0,14.55343453261338,120.90051305187173,2025-08-30 07:29:00
MMTI-2025-0062,Pateros,Commonwealth Ave,Truck,Pedestrian,Unknown,Storm,Slippery,Unknown,47,Male,1.0,91000.0,14.54776110883325,120.97659416978593,2025-06-02 18:37:00
MMTI-2025-0063,Pateros,Taft Ave,Truck,Rear-end,Unknown,Clear,Wet,Traffic Violation,24,Female,0.0,69000.0,14.682088335539293,120.90306951958306,2025-07-30 01:20:00
MMTI-2025-0064,Pasig,C5,Truck,Side-swipe,Fatal,Clear,Unknown,Distracted Driving,39,Female,2.0,82000.0,14.643743485044595,121.05188036186688,2025-03-15 13:55:00
MMTI-2025-0065,Makati,Quezon Ave,UV Express,Side-swipe,Major,Rain,Dry,Unknown,24,Male,3.0,23000.0,14.638800232558648,121.0806848124101,2025-10-05 01:39:00
MMTI-2025-0066,Quezon City,Roxas Blvd,Bus,Side-swipe,Unknown,Rain,Wet,Unknown,54,Female,1.0,24000.0,14.515793670131998,121.07416791972898,2025-01-24 10:50:00
MMTI-2025-0067,Pateros,Katipunan Ave,Car,Rear-end,Unknown,Rain,Slippery,Unknown,34,Male,3.0,38500.0,14.635522177139816,120.93159512441436,2025-11-14 21:15:00
MMTI-2025-0068,San Juan,Taft Ave,UV Express,Side-swipe,Unknown,Storm,Wet,Unknown,48,Male,1.0,50500.0,14.614384538470148,121.01496238603572,2025-08-15 11:37:00
MMTI-2025-0069,Navotas,Roxas Blvd,Motorcycle,Pedestrian,Minor,Clear,Unknown,Reckless Driving,67,Female,4.0,47000.0,14.543800907785622,120.93802639785542,2025-12-25 09:01:00
MMTI-2025-0070,Pasig,C5,UV Express,Collision,Fatal,Cloudy,Dry,Traffic Violation,64,Female,0.0,39500.0,14.565343825142802,120.98310061868376,2025-05-09 21:48:00
MMTI-2025-0071,Quezon City,Ortigas Ave,Jeepney,Pedestrian,Fatal,Rain,Slippery,Unknown,69,Male,0.0,45000.0,14.660846507720905,120.99366627777054,2025-04-13 04:50:00
MMTI-2025-0072,Caloocan,Taft Ave,Taxi,Pedestrian,Fatal,Clear,Unknown,Overspeeding,34,Male,3.0,49000.0,14.63456567637475,121.0344681594702,2025-02-08 04:48:00
MMTI-2025-0073,Las Piñas,C5,UV Express,Rear-end,Unknown,Clear,Unknown,Traffic Violation,57,Female,0.0,10000.0,14.627080784475588,120.99285350726454,2025-10-27 12:52:00
MMTI-2025-0074,Malabon,C5,Car,Collision,Minor,Storm,Unknown,Distracted Driving,24,Female,4.0,19000.0,14.577729166230029,120.9742023030974,2025-12-25 09:41:00
MMTI-2025-0075,Makati,Commonwealth Ave,Truck,Collision,Unknown,Clear,Unknown,Reckless Driving,20,Male,1.0,58500.0,14.588939171955817,120.9472225276462,2025-12-23 17:26:00
MMTI-2025-0076,Las Piñas,España Blvd,UV Express,Side-swipe,Minor,Cloudy,Slippery,Mechanical Failure,25,Female,0.0,86500.0,14.542421163084663,121.02789858370596,2025-07-05 03:43:00
MMTI-2025-0077,Marikina,Quezon Ave,Car,Pedestrian,Major,Clear,Unknown,Mechanical Failure,55,Female,1.0,44000.0,14.654873715560964,121.05772875085552,2025-01-11 01:50:00
MMTI-2025-0078,Pasig,Commonwealth Ave,Jeepney,Side-swipe,Major,Clear,Dry,Drunk Driving,18,Male,1.0,77000.0,14.564754292392404,120.93484924028124,2025-11-02 00:17:00
MMTI-2025-0079,Malabon,España Blvd,Motorcycle,Collision,Unknown,Cloudy,Slippery,Distracted Driving,46,Female,4.0,7500.0,14.645448599432749,121.08175033758133,2025-01-27 04:47:00
MMTI-2025-0080,Valenzuela,EDSA,Motorcycle,Hit and Run,Unknown,Cloudy,Dry,Unknown,63,Female,0.0,12000.0,14.564422363949266,120.92966676513208,2025-12-04 16:19:00
MMTI-2025-0081,Makati,España Blvd,UV Express,Side-swipe,Unknown,Clear,Unknown,Reckless Driving,47,Female,0.0,91500.0,14.522882814486016,121.03094259150464,2025-03-06 08:39:00
MMTI-2025-0082,Parañaque,Taft Ave,Truck,Rear-end,Unknown,Storm,Unknown,Unknown,44,Male,2.0,56500.0,14.562504714228371,120.95097795929657,2025-10-10 23:55:00
MMTI-2025-0083,Pateros,C5,Motorcycle,Collision,Minor,Cloudy,Dry,Traffic Violation,69,Female,4.0,9500.0,14.617293016547896,121.01231728279842,2025-03-20 21:59:00
MMTI-2025-0084,Malabon,Ortigas Ave,Taxi,Hit and Run,Minor,Storm,Unknown,Reckless Driving,40,Male,4.0,66500.0,14.5425477611344,121.03134726059764,2025-06-18 21:07:00
MMTI-2025-0085,Quezon City,Ortigas Ave,Motorcycle,Side-swipe,Unknown,Rain,Unknown,Overspeeding,56,Male,0.0,25000.0,14.554654077742544,121.0524819035962,2025-04-25 03:22:00
MMTI-2025-0086,Pasay,Commonwealth Ave,Jeepney,Hit and Run,Minor,Rain,Dry,Distracted Driving,65,Female,3.0,55500.0,14.590729158134604,120.93148185516904,2025-06-23 11:00:00
MMTI-2025-0087,Makati,Katipunan Ave,Motorcycle,Collision,Major,Rain,Unknown,Overspeeding,61,Male,2.0,58500.0,14.632387738561652,120.9971323409782,2025-06-09 23:20:00
MMTI-2025-0088,Parañaque,España Blvd,Motorcycle,Side-swipe,Unknown,Clear,Slippery,Unknown,51,Male,0.0,30000.0,14.579052679217526,121.0198649913889,2025-08-15 13:17:00
MMTI-2025-0089,Parañaque,Commonwealth Ave,Taxi,Side-swipe,Fatal,Storm,Dry,Overspeeding,49,Female,1.0,18500.0,14.576041489143048,121.04073425267654,2025-01-04 06:19:00
MMTI-2025-0090,Las Piñas,C5,Truck,Collision,Unknown,Clear,Unknown,Distracted Driving,38,Female,4.0,53500.0,14.641899792313788,120.9835387919687,2025-09-14 17:53:00
MMTI-2025-0091,Marikina,Commonwealth Ave,Taxi,Pedestrian,Unknown,Rain,Slippery,Distracted Driving,45,Male,1.0,57500.0,14.617774257660582,121.00479250860012,2025-02-28 12:01:00
MMTI-2025-0092,Marikina,Quezon Ave,Bus,Rear-end,Minor,Clear,Dry,Mechanical Failure,67,Male,2.0,95000.0,14.69164466979943,121.02908859523392,2025-07-22 09:47:00
MMTI-2025-0093,Pasig,Roxas Blvd,Car,Rear-end,Unknown,Rain,Dry,Drunk Driving,67,Female,3.0,98500.0,14.61274709665757,121.0158936179413,2025-03-17 07:06:00
MMTI-2025-0094,Pasig,Ortigas Ave,Taxi,Side-swipe,Major,Cloudy,Dry,Unknown,46,Male,2.0,77500.0,14.511234424042616,121.00146737705796,2025-12-15 18:41:00
MMTI-2025-0095,Quezon City,EDSA,Bus,Side-swipe,Minor,Rain,Dry,Unknown,47,Male,3.0,75000.0,14.63036749092972,120.96430535257608,2025-06-08 14:28:00
MMTI-2025-0096,Quezon City,Aurora Blvd,Motorcycle,Side-swipe,Minor,Clear,Wet,Overspeeding,33,Female,3.0,69000.0,14.604549607053109,120.93174924159632,2025-09-01 16:09:00
MMTI-2025-0097,Malabon,Ortigas Ave,UV Express,Pedestrian,Minor,Rain,Slippery,Distracted Driving,39,Male,4.0,88500.0,14.577312840944748,120.95039915699324,2025-07-10 09:24:00
MMTI-2025-0098,Pasig,Ortigas Ave,Motorcycle,Pedestrian,Major,Storm,Slippery,Unknown,26,Male,2.0,73500.0,14.57533586121126,121.05833239157272,2025-12-03 19:55:00
MMTI-2025-0099,Manila,C5,UV Express,Hit and Run,Unknown,Storm,Dry,Traffic Violation,37,Female,1.0,45500.0,14.689533653506867,120.99725418417457,2025-03-07 21:44:00
MMTI-2025-0100,Makati,Roxas Blvd,Taxi,Collision,Unknown,Clear,Unknown,Overspeeding,60,Male,4.0,18500.0,14.619449288214328,120.93085055226425,2025-04-26 04:09:00
MMTI-2025-0101,Pasig,Commonwealth Ave,UV Express,Hit and Run,Minor,Cloudy,Slippery,Mechanical Failure,46,Male,0.0,59000.0,14.546800588867084,120.9478336994491,2025-04-03 22:49:00
MMTI-2025-0102,Makati,Aurora Blvd,Truck,Side-swipe,Unknown,Clear,Unknown,Unknown,28,Female,4.0,19500.0,14.67460038401187,120.9104359606522,2025-08-29 06:23:00
MMTI-2025-0103,Taguig,España Blvd,Taxi,Collision,Fatal,Clear,Wet,Reckless Driving,46,Female,3.0,13500.0,14.689282652602351,120.9444076013814,2025-09-04 11:35:00
MMTI-2025-0104,Manila,Taft Ave,Motorcycle,Hit and Run,Unknown,Storm,Wet,Unknown,23,Male,1.0,5500.0,14.563736975089949,120.91981662487862,2025-08-19 11:59:00
MMTI-2025-0105,Pasig,Commonwealth Ave,Motorcycle,Side-swipe,Unknown,Rain,Wet,Unknown,46,Male,0.0,4000.0,14.55118478568741,121.06699261985648,2025-11-29 10:50:00
MMTI-2025-0106,Manila,Taft Ave,Motorcycle,Side-swipe,Major,Storm,Dry,Overspeeding,33,Female,0.0,81500.0,14.59142272332729,120.922171579058,2025-10-08 23:38:00
MMTI-2025-0107,Manila,España Blvd,Jeepney,Rear-end,Major,Storm,Unknown,Overspeeding,57,Male,1.0,75000.0,14.583313519041708,121.0328742603484,2025-09-13 19:34:00
MMTI-2025-0108,Makati,España Blvd,Jeepney,Pedestrian,Unknown,Clear,Dry,Unknown,48,Male,0.0,51500.0,14.696207884510311,120.95073005221384,2025-02-13 16:23:00
MMTI-2025-0109,Makati,Ortigas Ave,Car,Collision,Unknown,Rain,Slippery,Drunk Driving,20,Male,4.0,45000.0,14.662701773111218,120.93501782541034,2025-01-09 11:50:00
MMTI-2025-0110,Pateros,Commonwealth Ave,Taxi,Rear-end,Minor,Rain,Unknown,Overspeeding,36,Female,0.0,27500.0,14.677158077123622,120.96311916400995,2025-12-17 14:44:00
MMTI-2025-0111,Quezon City,Aurora Blvd,Bus,Collision,Major,Storm,Slippery,Overspeeding,59,Male,2.0,17500.0,14.659868482303647,120.987390276625,2025-06-08 16:25:00
MMTI-2025-0112,Navotas,Ortigas Ave,Car,Hit and Run,Unknown,Storm,Unknown,Reckless Driving,69,Male,0.0,56000.0,14.515785401211094,121.02049065976604,2025-07-24 23:28:00
MMTI-2025-0113,Marikina,C5,Motorcycle,Side-swipe,Fatal,Storm,Unknown,Unknown,28,Female,2.0,59000.0,14.508471032570023,121.07400743501128,2025-04-03 17:18:00
MMTI-2025-0114,Mandaluyong,EDSA,Motorcycle,Hit and Run,Fatal,Clear,Wet,Overspeeding,27,Female,0.0,18000.0,14.51344667261242,121.05570307470138,2025-06-30 19:27:00
MMTI-2025-0115,Makati,EDSA,Jeepney,Rear-end,Unknown,Storm,Slippery,Unknown,66,Male,4.0,19500.0,14.60589197630726,120.9796068091905,2025-07-07 11:24:00
MMTI-2025-0116,Taguig,EDSA,UV Express,Rear-end,Unknown,Clear,Unknown,Distracted Driving,34,Male,0.0,59000.0,14.542914085084744,121.02237543655274,2025-11-29 08:15:00
MMTI-2025-0117,Taguig,Commonwealth Ave,Taxi,Collision,Unknown,Rain,Unknown,Distracted Driving,69,Male,0.0,46000.0,14.641908097363917,121.00999942949738,2025-12-22 15:12:00
MMTI-2025-0118,Pasay,Commonwealth Ave,Taxi,Side-swipe,Unknown,Rain,Dry,Mechanical Failure,68,Female,1.0,65000.0,14.505256805361654,121.01080428745192,2025-05-29 09:54:00
MMTI-2025-0119,Quezon City,Commonwealth Ave,Jeepney,Collision,Minor,Storm,Unknown,Unknown,51,Female,3.0,75500.0,14.514750142582248,121.09447594630277,2025-07-08 14:51:00
MMTI-2025-0120,Valenzuela,España Blvd,Bus,Rear-end,Unknown,Rain,Unknown,Drunk Driving,67,Female,3.0,66000.0,14.682142454189378,120.91108257000356,2025-11-25 02:28:00
MMTI-2025-0121,San Juan,Commonwealth Ave,Car,Side-swipe,Major,Storm,Unknown,Reckless Driving,23,Male,1.0,83000.0,14.69127032540864,120.9548902066427,2025-03-05 16:09:00
MMTI-2025-0122,Quezon City,C5,Jeepney,Rear-end,Unknown,Clear,Wet,Drunk Driving,60,Male,4.0,7000.0,14.665047253465326,120.90567469757978,2025-11-17 09:39:00
MMTI-2025-0123,Makati,Roxas Blvd,UV Express,Rear-end,Unknown,Cloudy,Unknown,Overspeeding,49,Male,0.0,40500.0,14.596588963635083,121.06093763084316,2025-01-24 20:49:00
MMTI-2025-0124,Valenzuela,C5,UV Express,Collision,Major,Cloudy,Unknown,Unknown,47,Female,2.0,79500.0,14.528733738232528,121.0722970153665,2025-12-17 12:19:00
MMTI-2025-0125,Las Piñas,Taft Ave,Car,Side-swipe,Unknown,Clear,Dry,Traffic Violation,33,Female,0.0,36000.0,14.589919202399132,120.92817552700164,2025-06-13 23:55:00
MMTI-2025-0126,Pasig,Taft Ave,Car,Rear-end,Fatal,Clear,Slippery,Mechanical Failure,66,Female,3.0,67500.0,14.59336302354747,121.0758151327201,2025-01-26 09:24:00
MMTI-2025-0127,Navotas,España Blvd,Truck,Rear-end,Major,Clear,Slippery,Overspeeding,21,Male,3.0,78000.0,14.67646789527364,121.03085200737792,2025-09-12 00:05:00
MMTI-2025-0128,Manila,C5,Truck,Rear-end,Fatal,Rain,Slippery,Unknown,41,Male,3.0,8500.0,14.614056328776206,120.93893106037756,2025-08-29 09:34:00
MMTI-2025-0129,Navotas,España Blvd,Truck,Pedestrian,Fatal,Clear,Unknown,Distracted Driving,26,Male,3.0,49500.0,14.65897944567619,120.96781705999052,2025-10-11 09:04:00
MMTI-2025-0130,Pasig,España Blvd,Truck,Pedestrian,Minor,Clear,Dry,Drunk Driving,63,Male,3.0,68000.0,14.591397711856574,121.02125210448077,2025-07-07 04:12:00
MMTI-2025-0131,Pasig,Ortigas Ave,Car,Hit and Run,Unknown,Rain,Slippery,Traffic Violation,50,Female,0.0,74000.0,14.559958112947482,121.06314976664878,2025-09-21 04:20:00
MMTI-2025-0132,Taguig,Taft Ave,Jeepney,Side-swipe,Minor,Clear,Unknown,Reckless Driving,59,Female,0.0,8500.0,14.616704655409528,120.93410241234932,2025-07-08 10:43:00
MMTI-2025-0133,Navotas,Commonwealth Ave,Taxi,Rear-end,Minor,Clear,Dry,Mechanical Failure,19,Female,2.0,55500.0,14.530286251623869,121.03810005218372,2025-11-19 23:39:00
MMTI-2025-0134,Pasig,Aurora Blvd,Taxi,Collision,Major,Clear,Wet,Traffic Violation,60,Female,4.0,50000.0,14.562750519747564,120.93463648477147,2025-07-30 16:49:00
MMTI-2025-0135,Las Piñas,Roxas Blvd,Jeepney,Hit and Run,Major,Rain,Slippery,Reckless Driving,32,Male,2.0,92000.0,14.541455558970927,121.04099765194805,2025-09-30 10:34:00
MMTI-2025-0136,Quezon City,Roxas Blvd,Bus,Collision,Unknown,Rain,Unknown,Unknown,43,Male,1.0,39000.0,14.508413297366545,121.09106274353586,2025-06-12 15:22:00
MMTI-2025-0137,Valenzuela,Roxas Blvd,UV Express,Hit and Run,Major,Rain,Unknown,Reckless Driving,53,Male,1.0,15500.0,14.623135406882898,121.01736609971417,2025-02-10 11:59:00
MMTI-2025-0138,Manila,Quezon Ave,UV Express,Rear-end,Minor,Clear,Unknown,Traffic Violation,63,Female,0.0,89000.0,14.654153211619656,120.90103628928144,2025-05-05 01:42:00
MMTI-2025-0139,Pateros,Aurora Blvd,UV Express,Rear-end,Fatal,Storm,Slippery,Overspeeding,67,Male,0.0,75000.0,14.546444039844204,121.04773730445372,2025-10-09 05:26:00
MMTI-2025-0140,Pasay,EDSA,Taxi,Hit and Run,Unknown,Rain,Slippery,Overspeeding,18,Male,4.0,79000.0,14.521460138154708,121.0965987776742,2025-01-20 05:26:00
