Incident_ID,Date,Time,City,Road_Name,Vehicle_Type,Accident_Type,Severity,Weather_Condition,Road_Condition,Cause,Driver_Age,Driver_Gender,Injury_Count,Damage_Cost_PHP,Latitude,Longitude
MMTI-2025-0021,2025-02-05,07:23:00,San Juan,Commonwealth Ave,Truck,Pedestrian,Fatal, clear,,Overspeeding,60.0,male,,15000.0,14.68778600078542,120.92685822287868
MMTI-2025-0022,2025-03-01,03:47:00,QUEZON CITY,Commonwealth Ave,Bus,Side-swipe,,Rain,Slippery,Mechanical Failure,61.0,male,4.0,64500.0,14.55022425041398,121.08163180924372
MMTI-2025-0023,2025-01-27,02:40:00,Malabon,Roxas Blvd,Motorcycle,Collision,Fatal,Rain,Slippery,Drunk Driving,65.0,FEMALE,4.0,92000.0,14.585537383796137,120.90193393992168
MMTI-2025-0024,2025-02-08,22:57:00,Pasig,España Blvd,Motorcycle,Side-swipe,, clear,Wet,,26.0,Male,2.0,48500.0,14.679796297748519,121.05922446097762
MMTI-2025-0025,2025-01-21,11:13:00,Caloocan,C5,Bus,Pedestrian,, clear,Wet,Mechanical Failure,28.0,Female,3.0,5000.0,14.535872132683641,121.08489745904832
MMTI-2025-0026,2025-07-30,21:55:00,Caloocan,Roxas Blvd,Car,Collision,,Clear,,Mechanical Failure,30.0,FEMALE,2.0,41000.0,14.664107276194313,121.07426460717261
MMTI-2025-0027,2025-04-25,00:42:00,Parañaque,Taft Ave,Bus,Side-swipe,Minor,Storm,Slippery,,61.0,male,0.0,16500.0,14.675407682315113,120.95224303927804
MMTI-2025-0028,2025-10-25,08:02:00,Taguig,Katipunan Ave,Truck,Side-swipe,Fatal,Cloudy,,Distracted Driving,42.0,Female,2.0,7500.0,14.641757056766835,120.90033825564373
MMTI-2025-0029,2025-10-03,21:46:00,Parañaque,Ortigas Ave,Truck,Collision,Fatal, clear,Slippery,Distracted Driving,64.0,male,4.0,41500.0,14.633378580821146,120.96523658097149
MMTI-2025-0030,2025-12-23,09:35:00,Pasig,Quezon Ave,Truck,Hit and Run,Major, clear,,Reckless Driving,43.0,Male,2.0,38500.0,14.542036536976529,121.05715176549552
MMTI-2025-0031,2025-11-07,20:20:00,Valenzuela,Aurora Blvd,Truck,Rear-end,,Cloudy,Wet,Distracted Driving,36.0,male,0.0,98000.0,14.546973719705337,120.96208389285898
MMTI-2025-0032,2025-04-12,04:01:00,Quezon City,Quezon Ave,Truck,Pedestrian,Minor,Cloudy,,Mechanical Failure,63.0,FEMALE,3.0,53000.0,14.548796887915687,121.03121160222236
MMTI-2025-0033,2025-01-03,03:49:00,Malabon,Quezon Ave,Car,Pedestrian,,Clear,,Mechanical Failure,25.0,FEMALE,1.0,61000.0,14.633515546517271,121.0975784906133
MMTI-2025-0034,2025-11-01,10:48:00,Valenzuela,Katipunan Ave,Taxi,Pedestrian,, clear,,Drunk Driving,65.0,FEMALE,3.0,35000.0,14.650355357300102,121.06797257756838
MMTI-2025-0035,2025-05-22,16:31:00,Caloocan,Roxas Blvd,Truck,Collision,Fatal,Rain,Slippery,Traffic Violation,38.0,Male,1.0,21000.0,14.546252295945637,121.03878996245982
MMTI-2025-0036,2025-12-28,06:04:00,Malabon,Taft Ave,Bus,Pedestrian,,Cloudy,Dry,Mechanical Failure,44.0,FEMALE,4.0,91000.0,14.503906391347545,121.07613133455158
MMTI-2025-0037,2025-10-22,12:30:00,Manila,Ortigas Ave,Bus,Hit and Run,, clear,,Mechanical Failure,49.0,Female,2.0,57500.0,14.5971283987597,120.97777144064924
MMTI-2025-0038,2025-12-09,21:51:00,Navotas,Commonwealth Ave,Taxi,Hit and Run,Major, clear,,Overspeeding,43.0,Male,0.0,84000.0,14.58572255393222,121.07337027111903
MMTI-2025-0039,2025-04-04,01:16:00,Navotas,Ortigas Ave,Car,Hit and Run,Fatal,Storm,,Reckless Driving,66.0,FEMALE,2.0,12000.0,14.59406136724261,121.04980485221658
MMTI-2025-0040,2025-01-27,11:14:00,Makati,EDSA,Taxi,Collision,Major,Rain,Dry,Drunk Driving,33.0,Female,3.0,87500.0,14.522877889221862,121.08955140444334
MMTI-2025-0041,2025-08-27,22:16:00,Las Piñas,Commonwealth Ave,Jeepney,Pedestrian,Minor,Rain,Slippery,Distracted Driving,55.0,Male,2.0,75500.0,14.635469457370082,121.09163456764118
MMTI-2025-0042,2025-07-23,22:12:00,Makati,Katipunan Ave,UV Express,Rear-end,Minor,RAIN,Slippery,Distracted Driving,68.0,Male,2.0,70000.0,14.58567560264695,120.97411417524361
MMTI-2025-0043,2025-09-17,20:21:00,Manila,Taft Ave,Taxi,Hit and Run,Minor,Cloudy,Slippery,,63.0,Female,3.0,24500.0,14.646759060802678,121.09309474624762
MMTI-2025-0044,2025-05-19,19:51:00,QUEZON CITY,Aurora Blvd,Truck,Hit and Run,,Storm,Slippery,Mechanical Failure,23.0,male,3.0,33000.0,14.650095256365402,121.01396992893567
MMTI-2025-0045,2025-12-09,12:21:00,Manila,Aurora Blvd,Taxi,Side-swipe,Major,Cloudy,Wet,Traffic Violation,69.0,male,2.0,37500.0,14.676063995951646,121.04023675006644
MMTI-2025-0046,2025-05-22,17:00:00,manila,Quezon Ave,Motorcycle,Rear-end,,Cloudy,,Mechanical Failure,62.0,FEMALE,,93000.0,14.598164267015717,121.05858657362647
MMTI-2025-0047,2025-02-17,09:14:00,Navotas,Quezon Ave,Bus,Pedestrian,Fatal,Cloudy,,Traffic Violation,45.0,male,2.0,91500.0,14.590749052570636,120.96132459826977
MMTI-2025-0048,2025-04-29,03:46:00,Parañaque,Ortigas Ave,Motorcycle,Pedestrian,Major,Rain,Wet,,35.0,male,0.0,26500.0,14.559249292653028,120.97217621382988
MMTI-2025-0049,2025-06-04,00:45:00,QUEZON CITY,Commonwealth Ave,Bus,Collision,Minor, clear,Slippery,Drunk Driving,58.0,FEMALE,0.0,3500.0,14.614812843925266,120.9938793889861
MMTI-2025-0050,2025-08-14,10:11:00,Quezon City,Roxas Blvd,Taxi,Hit and Run,Minor,Clear,,,22.0,Male,1.0,21000.0,14.66222841525501,121.08982512847162
MMTI-2025-0051,2025-02-13,07:07:00,QUEZON CITY,Taft Ave,Jeepney,Pedestrian,,Rain,,,46.0,FEMALE,2.0,77000.0,14.698006252093359,120.96107604886387
MMTI-2025-0052,2025-11-14,01:39:00,Taguig,Quezon Ave,UV Express,Rear-end,Fatal,RAIN,Dry,Drunk Driving,33.0,Female,4.0,11500.0,14.531306523088627,120.98170351453201
MMTI-2025-0053,2025-12-19,19:30:00,San Juan,EDSA,Car,Side-swipe,Fatal,RAIN,,Distracted Driving,61.0,Female,2.0,82000.0,14.617957917841052,121.06078113605629
MMTI-2025-0054,2025-04-12,13:07:00,QUEZON CITY,Quezon Ave,UV Express,Rear-end,Fatal,Rain,Dry,Overspeeding,28.0,male,4.0,97500.0,14.664848060264001,121.08423850579354
MMTI-2025-0055,2025-08-13,03:29:00,San Juan,Taft Ave,Bus,Pedestrian,,Cloudy,,Distracted Driving,56.0,Male,3.0,96000.0,14.56446431667166,120.95007358048241
MMTI-2025-0056,2025-02-16,07:43:00,Makati ,Katipunan Ave,Motorcycle,Side-swipe,,Clear,Wet,,51.0,FEMALE,2.0,25000.0,14.699389094986513,120.9871769974154
MMTI-2025-0057,2025-09-09,02:30:00,Las Piñas,Taft Ave,Bus,Side-swipe,Minor,Rain,Slippery,,62.0,FEMALE,2.0,86500.0,14.689038707912642,121.0627132069476
MMTI-2025-0058,2025-10-09,01:29:00,Makati,Ortigas Ave,Bus,Side-swipe,Minor,Cloudy,,Overspeeding,60.0,FEMALE,3.0,8500.0,14.537516508278905,120.97235587183035
MMTI-2025-0059,2025-09-13,20:28:00,Quezon City,Quezon Ave,Bus,Pedestrian,Major,Storm,,,25.0,Male,,79500.0,14.659862746654895,121.04195656502006
MMTI-2025-0060,2025-06-09,17:00:00,QUEZON CITY,Taft Ave,Motorcycle,Rear-end,Minor,Cloudy,Dry,Drunk Driving,49.0,male,4.0,92000.0,14.554684979342655,121.06694478911534
MMTI-2025-0061,2025-08-30,07:29:00,QUEZON CITY,Commonwealth Ave,Truck,Rear-end,, clear,Wet,Distracted Driving,35.0,FEMALE,2.0,66500.0,14.55343453261338,120.90051305187173
MMTI-2025-0062,2025-06-02,18:37:00,Pateros,Commonwealth Ave,Truck,Pedestrian,,Storm,Slippery,,47.0,male,1.0,91000.0,14.54776110883325,120.97659416978593
MMTI-2025-0063,2025-07-30,01:20:00,Pateros,Taft Ave,Truck,Rear-end,,Clear,Wet,Traffic Violation,24.0,FEMALE,0.0,69000.0,14.682088335539293,120.90306951958306
MMTI-2025-0064,2025-03-15,13:55:00,Pasig,C5,Truck,Side-swipe,Fatal, clear,,Distracted Driving,39.0,FEMALE,2.0,82000.0,14.643743485044597,121.05188036186688
MMTI-2025-0065,2025-10-05,01:39:00,Makati,Quezon Ave,UV Express,Side-swipe,Major,RAIN,Dry,,24.0,Male,3.0,23000.0,14.638800232558648,121.0806848124101
MMTI-2025-0066,2025-01-24,10:50:00,Quezon City,Roxas Blvd,Bus,Side-swipe,,Rain,Wet,,54.0,Female,1.0,24000.0,14.515793670131998,121.07416791972898
MMTI-2025-0067,2025-11-14,21:15:00,Pateros,Katipunan Ave,Car,Rear-end,,RAIN,Slippery,,34.0,Male,3.0,38500.0,14.635522177139816,120.93159512441436
MMTI-2025-0068,2025-08-15,11:37:00,San Juan,Taft Ave,UV Express,Side-swipe,,Storm,Wet,,48.0,Male,1.0,50500.0,14.614384538470148,121.01496238603573
MMTI-2025-0069,2025-12-25,09:01:00,Navotas,Roxas Blvd,Motorcycle,Pedestrian,Minor, clear,,Reckless Driving,67.0,Female,4.0,47000.0,14.543800907785622,120.93802639785542
MMTI-2025-0070,2025-05-09,21:48:00,Pasig,C5,UV Express,Collision,Fatal,Cloudy,Dry,Traffic Violation,64.0,Female,0.0,39500.0,14.565343825142802,120.98310061868376
MMTI-2025-0071,2025-04-13,04:50:00,QUEZON CITY,Ortigas Ave,Jeepney,Pedestrian,Fatal,Rain,Slippery,,69.0,male,,45000.0,14.660846507720903,120.99366627777054
MMTI-2025-0072,2025-02-08,04:48:00,Caloocan,Taft Ave,Taxi,Pedestrian,Fatal,Clear,,Overspeeding,34.0,Male,3.0,49000.0,14.63456567637475,121.03446815947021
MMTI-2025-0073,2025-10-27,12:52:00,Las Piñas,C5,UV Express,Rear-end,,Clear,,Traffic Violation,57.0,Female,,10000.0,14.627080784475588,120.99285350726454
MMTI-2025-0074,2025-12-25,09:41:00,Malabon,C5,Car,Collision,Minor,Storm,,Distracted Driving,24.0,Female,4.0,19000.0,14.577729166230029,120.97420230309739
MMTI-2025-0075,2025-12-23,17:26:00,Makati ,Commonwealth Ave,Truck,Collision,, clear,,Reckless Driving,20.0,male,1.0,58500.0,14.588939171955817,120.9472225276462
MMTI-2025-0076,2025-07-05,03:43:00,Las Piñas,España Blvd,UV Express,Side-swipe,Minor,Cloudy,Slippery,Mechanical Failure,25.0,FEMALE,0.0,86500.0,14.542421163084663,121.02789858370595
MMTI-2025-0077,2025-01-11,01:50:00,Marikina,Quezon Ave,Car,Pedestrian,Major,Clear,,Mechanical Failure,55.0,Female,1.0,44000.0,14.654873715560964,121.05772875085553
MMTI-2025-0078,2025-11-02,00:17:00,Pasig,Commonwealth Ave,Jeepney,Side-swipe,Major,Clear,Dry,Drunk Driving,18.0,male,1.0,77000.0,14.564754292392404,120.93484924028124
MMTI-2025-0079,2025-01-27,04:47:00,Malabon,España Blvd,Motorcycle,Collision,,Cloudy,Slippery,Distracted Driving,46.0,Female,4.0,7500.0,14.645448599432747,121.08175033758131
MMTI-2025-0080,2025-12-04,16:19:00,Valenzuela,EDSA,Motorcycle,Hit and Run,,Cloudy,Dry,,63.0,FEMALE,0.0,12000.0,14.564422363949266,120.92966676513208
MMTI-2025-0081,2025-03-06,08:39:00,Makati ,España Blvd,UV Express,Side-swipe,, clear,,Reckless Driving,47.0,FEMALE,0.0,91500.0,14.522882814486016,121.03094259150464
MMTI-2025-0082,2025-10-10,23:55:00,Parañaque,Taft Ave,Truck,Rear-end,,Storm,,,44.0,Male,2.0,56500.0,14.562504714228373,120.95097795929657
MMTI-2025-0083,2025-03-20,21:59:00,Pateros,C5,Motorcycle,Collision,Minor,Cloudy,Dry,Traffic Violation,69.0,Female,4.0,9500.0,14.617293016547896,121.01231728279842
MMTI-2025-0084,2025-06-18,21:07:00,Malabon,Ortigas Ave,Taxi,Hit and Run,Minor,Storm,,Reckless Driving,40.0,Male,4.0,66500.0,14.5425477611344,121.03134726059764
MMTI-2025-0085,2025-04-25,03:22:00,QUEZON CITY,Ortigas Ave,Motorcycle,Side-swipe,,Rain,,Overspeeding,56.0,male,0.0,25000.0,14.554654077742544,121.0524819035962
MMTI-2025-0086,2025-06-23,11:00:00,Pasay,Commonwealth Ave,Jeepney,Hit and Run,Minor,Rain,Dry,Distracted Driving,65.0,Female,3.0,55500.0,14.590729158134604,120.93148185516903
MMTI-2025-0087,2025-06-09,23:20:00,Makati ,Katipunan Ave,Motorcycle,Collision,Major,Rain,,Overspeeding,61.0,Male,2.0,58500.0,14.632387738561652,120.99713234097821
MMTI-2025-0088,2025-08-15,13:17:00,Parañaque,España Blvd,Motorcycle,Side-swipe,,Clear,Slippery,,51.0,male,0.0,30000.0,14.579052679217526,121.0198649913889
MMTI-2025-0089,2025-01-04,06:19:00,Parañaque,Commonwealth Ave,Taxi,Side-swipe,Fatal,Storm,Dry,Overspeeding,49.0,FEMALE,1.0,18500.0,14.576041489143048,121.04073425267654
MMTI-2025-0090,2025-09-14,17:53:00,Las Piñas,C5,Truck,Collision,,Clear,,Distracted Driving,38.0,FEMALE,4.0,53500.0,14.641899792313787,120.9835387919687
MMTI-2025-0091,2025-02-28,12:01:00,Marikina,Commonwealth Ave,Taxi,Pedestrian,,RAIN,Slippery,Distracted Driving,45.0,Male,1.0,57500.0,14.617774257660582,121.00479250860013
MMTI-2025-0092,2025-07-22,09:47:00,Marikina,Quezon Ave,Bus,Rear-end,Minor, clear,Dry,Mechanical Failure,67.0,male,2.0,95000.0,14.69164466979943,121.02908859523392
MMTI-2025-0093,2025-03-17,07:06:00,Pasig,Roxas Blvd,Car,Rear-end,,Rain,Dry,Drunk Driving,67.0,FEMALE,3.0,98500.0,14.61274709665757,121.0158936179413
MMTI-2025-0094,2025-12-15,18:41:00, Pasig,Ortigas Ave,Taxi,Side-swipe,Major,Cloudy,Dry,,46.0,male,2.0,77500.0,14.511234424042616,121.00146737705796
MMTI-2025-0095,2025-06-08,14:28:00,Quezon City,EDSA,Bus,Side-swipe,Minor,RAIN,Dry,,47.0,Male,3.0,75000.0,14.630367490929721,120.96430535257609
MMTI-2025-0096,2025-09-01,16:09:00,Quezon City,Aurora Blvd,Motorcycle,Side-swipe,Minor, clear,Wet,Overspeeding,33.0,FEMALE,3.0,69000.0,14.604549607053109,120.93174924159631
MMTI-2025-0097,2025-07-10,09:24:00,Malabon,Ortigas Ave,UV Express,Pedestrian,Minor,RAIN,Slippery,Distracted Driving,39.0,Male,4.0,88500.0,14.577312840944748,120.95039915699324
MMTI-2025-0098,2025-12-03,19:55:00,Pasig,Ortigas Ave,Motorcycle,Pedestrian,Major,Storm,Slippery,,26.0,Male,2.0,73500.0,14.57533586121126,121.05833239157272
MMTI-2025-0099,2025-03-07,21:44:00,manila,C5,UV Express,Hit and Run,,Storm,Dry,Traffic Violation,37.0,Female,1.0,45500.0,14.689533653506869,120.99725418417455
MMTI-2025-0100,2025-04-26,04:09:00,Makati,Roxas Blvd,Taxi,Collision,, clear,,Overspeeding,60.0,male,4.0,18500.0,14.619449288214327,120.93085055226423
MMTI-2025-0101,2025-04-03,22:49:00, Pasig,Commonwealth Ave,UV Express,Hit and Run,Minor,Cloudy,Slippery,Mechanical Failure,46.0,male,,59000.0,14.546800588867084,120.9478336994491
MMTI-2025-0102,2025-08-29,06:23:00,Makati ,Aurora Blvd,Truck,Side-swipe,, clear,,,28.0,Female,4.0,19500.0,14.67460038401187,120.91043596065221
MMTI-2025-0103,2025-09-04,11:35:00,Taguig,España Blvd,Taxi,Collision,Fatal,Clear,Wet,Reckless Driving,46.0,Female,3.0,13500.0,14.689282652602353,120.9444076013814
MMTI-2025-0104,2025-08-19,11:59:00,Manila,Taft Ave,Motorcycle,Hit and Run,,Storm,Wet,,23.0,male,1.0,5500.0,14.563736975089947,120.91981662487862
MMTI-2025-0105,2025-11-29,10:50:00,Pasig,Commonwealth Ave,Motorcycle,Side-swipe,,RAIN,Wet,,46.0,Male,0.0,4000.0,14.55118478568741,121.06699261985648
MMTI-2025-0106,2025-10-08,23:38:00,manila,Taft Ave,Motorcycle,Side-swipe,Major,Storm,Dry,Overspeeding,33.0,FEMALE,,81500.0,14.59142272332729,120.922171579058
MMTI-2025-0107,2025-09-13,19:34:00,Manila,España Blvd,Jeepney,Rear-end,Major,Storm,,Overspeeding,57.0,male,1.0,75000.0,14.583313519041708,121.03287426034841
MMTI-2025-0108,2025-02-13,16:23:00,Makati,España Blvd,Jeepney,Pedestrian,, clear,Dry,,48.0,Male,,51500.0,14.696207884510311,120.95073005221384
MMTI-2025-0109,2025-01-09,11:50:00,Makati,Ortigas Ave,Car,Collision,,RAIN,Slippery,Drunk Driving,20.0,male,4.0,45000.0,14.662701773111218,120.93501782541034
MMTI-2025-0110,2025-12-17,14:44:00,Pateros,Commonwealth Ave,Taxi,Rear-end,Minor,RAIN,,Overspeeding,36.0,Female,0.0,27500.0,14.677158077123622,120.96311916400995
MMTI-2025-0111,2025-06-08,16:25:00,QUEZON CITY,Aurora Blvd,Bus,Collision,Major,Storm,Slippery,Overspeeding,59.0,male,2.0,17500.0,14.659868482303647,120.98739027662499
MMTI-2025-0112,2025-07-24,23:28:00,Navotas,Ortigas Ave,Car,Hit and Run,,Storm,,Reckless Driving,69.0,Male,,56000.0,14.515785401211094,121.02049065976605
MMTI-2025-0113,2025-04-03,17:18:00,Marikina,C5,Motorcycle,Side-swipe,Fatal,Storm,,,28.0,FEMALE,2.0,59000.0,14.508471032570025,121.07400743501128
MMTI-2025-0114,2025-06-30,19:27:00,Mandaluyong,EDSA,Motorcycle,Hit and Run,Fatal, clear,Wet,Overspeeding,27.0,FEMALE,0.0,18000.0,14.513446672612421,121.05570307470138
MMTI-2025-0115,2025-07-07,11:24:00,Makati ,EDSA,Jeepney,Rear-end,,Storm,Slippery,,66.0,Male,4.0,19500.0,14.605891976307259,120.9796068091905
MMTI-2025-0116,2025-11-29,08:15:00,Taguig,EDSA,UV Express,Rear-end,, clear,,Distracted Driving,34.0,male,,59000.0,14.542914085084744,121.02237543655274
MMTI-2025-0117,2025-12-22,15:12:00,Taguig,Commonwealth Ave,Taxi,Collision,,Rain,,Distracted Driving,69.0,male,,46000.0,14.641908097363917,121.00999942949738
MMTI-2025-0118,2025-05-29,09:54:00,Pasay,Commonwealth Ave,Taxi,Side-swipe,,Rain,Dry,Mechanical Failure,68.0,Female,1.0,65000.0,14.505256805361654,121.01080428745192
MMTI-2025-0119,2025-07-08,14:51:00,QUEZON CITY,Commonwealth Ave,Jeepney,Collision,Minor,Storm,,,51.0,FEMALE,3.0,75500.0,14.514750142582248,121.09447594630277
MMTI-2025-0120,2025-11-25,02:28:00,Valenzuela,España Blvd,Bus,Rear-end,,RAIN,,Drunk Driving,67.0,Female,3.0,66000.0,14.682142454189378,120.91108257000356
MMTI-2025-0121,2025-03-05,16:09:00,San Juan,Commonwealth Ave,Car,Side-swipe,Major,Storm,,Reckless Driving,23.0,male,1.0,83000.0,14.69127032540864,120.9548902066427
MMTI-2025-0122,2025-11-17,09:39:00,QUEZON CITY,C5,Jeepney,Rear-end,, clear,Wet,Drunk Driving,60.0,male,4.0,7000.0,14.665047253465326,120.90567469757978
MMTI-2025-0123,2025-01-24,20:49:00,Makati ,Roxas Blvd,UV Express,Rear-end,,Cloudy,,Overspeeding,49.0,male,,40500.0,14.596588963635083,121.06093763084316
MMTI-2025-0124,2025-12-17,12:19:00,Valenzuela,C5,UV Express,Collision,Major,Cloudy,,,47.0,Female,2.0,79500.0,14.528733738232527,121.0722970153665
MMTI-2025-0125,2025-06-13,23:55:00,Las Piñas,Taft Ave,Car,Side-swipe,, clear,Dry,Traffic Violation,33.0,FEMALE,0.0,36000.0,14.589919202399132,120.92817552700164
MMTI-2025-0126,2025-01-26,09:24:00, Pasig,Taft Ave,Car,Rear-end,Fatal, clear,Slippery,Mechanical Failure,66.0,Female,3.0,67500.0,14.59336302354747,121.0758151327201
MMTI-2025-0127,2025-09-12,00:05:00,Navotas,España Blvd,Truck,Rear-end,Major, clear,Slippery,Overspeeding,21.0,male,3.0,78000.0,14.67646789527364,121.03085200737793
MMTI-2025-0128,2025-08-29,09:34:00,Manila,C5,Truck,Rear-end,Fatal,RAIN,Slippery,,41.0,Male,3.0,8500.0,14.614056328776206,120.93893106037756
MMTI-2025-0129,2025-10-11,09:04:00,Navotas,España Blvd,Truck,Pedestrian,Fatal, clear,,Distracted Driving,26.0,Male,3.0,49500.0,14.65897944567619,120.96781705999052
MMTI-2025-0130,2025-07-07,04:12:00, Pasig,España Blvd,Truck,Pedestrian,Minor,Clear,Dry,Drunk Driving,63.0,male,3.0,68000.0,14.591397711856574,121.02125210448077
MMTI-2025-0131,2025-09-21,04:20:00, Pasig,Ortigas Ave,Car,Hit and Run,,RAIN,Slippery,Traffic Violation,50.0,FEMALE,,74000.0,14.559958112947482,121.06314976664878
MMTI-2025-0132,2025-07-08,10:43:00,Taguig,Taft Ave,Jeepney,Side-swipe,Minor, clear,,Reckless Driving,59.0,Female,,8500.0,14.616704655409528,120.93410241234933
MMTI-2025-0133,2025-11-19,23:39:00,Navotas,Commonwealth Ave,Taxi,Rear-end,Minor, clear,Dry,Mechanical Failure,19.0,FEMALE,2.0,55500.0,14.530286251623869,121.03810005218371
MMTI-2025-0134,2025-07-30,16:49:00, Pasig,Aurora Blvd,Taxi,Collision,Major, clear,Wet,Traffic Violation,60.0,FEMALE,4.0,50000.0,14.562750519747564,120.93463648477147
MMTI-2025-0135,2025-09-30,10:34:00,Las Piñas,Roxas Blvd,Jeepney,Hit and Run,Major,Rain,Slippery,Reckless Driving,32.0,male,2.0,92000.0,14.541455558970927,121.04099765194805
MMTI-2025-0136,2025-06-12,15:22:00,QUEZON CITY,Roxas Blvd,Bus,Collision,,RAIN,,,43.0,male,1.0,39000.0,14.508413297366545,121.09106274353586
MMTI-2025-0137,2025-02-10,11:59:00,Valenzuela,Roxas Blvd,UV Express,Hit and Run,Major,Rain,,Reckless Driving,53.0,male,1.0,15500.0,14.623135406882898,121.01736609971417
MMTI-2025-0138,2025-05-05,01:42:00,manila,Quezon Ave,UV Express,Rear-end,Minor,Clear,,Traffic Violation,63.0,FEMALE,0.0,89000.0,14.654153211619656,120.90103628928144
MMTI-2025-0139,2025-10-09,05:26:00,Pateros,Aurora Blvd,UV Express,Rear-end,Fatal,Storm,Slippery,Overspeeding,67.0,Male,,75000.0,14.546444039844204,121.04773730445373
MMTI-2025-0140,2025-01-20,05:26:00,Pasay,EDSA,Taxi,Hit and Run,,Rain,Slippery,Overspeeding,18.0,male,4.0,79000.0,14.521460138154708,121.0965987776742
MMTI-2025-0141,2025-05-26,14:41:00,QUEZON CITY,España Blvd,Truck,Rear-end,,Cloudy,Slippery,Mechanical Failure,69.0,Male,2.0,22500.0,14.646223846761755,121.02965706774185
MMTI-2025-0142,2025-04-06,00:47:00,Marikina,Roxas Blvd,Jeepney,Rear-end,Major, clear,,,50.0,male,0.0,53000.0,14.633851170681991,120.93695624020947
